

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	616	460	3	3	2.5	0
0	620	457	3	3	2.5	0
0	244	436	19	20	112.0	0
1	334	425	14	20	140.5	0
2	319	382	13	20	52.0	0
3	550	379	18	20	76.5	0
4	351	365	2	20	18.5	0
5	62	273	20	17	58.5	0
6	179	222	255	155	1209.0	0
6	156	219	13	20	42.5	0
7	191	212	10	20	117.5	0
8	208	184	13	20	58.0	0
9	229	97	18	20	217.5	0
10	416	70	16	20	51.5	0
11	64	27	16	20	74.0	0
12	596	8	16	20	185.0	0
13	542	7	19	20	124.5	0

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	243	436	20	20	115.5	1
1	334	425	14	20	140.5	1
2	320	382	13	20	52.0	1
3	552	379	18	20	77.0	1
4	352	365	2	20	18.5	1
5	64	276	20	14	50.0	1
6	179	222	255	155	1209.0	1
6	156	219	13	20	42.5	1
7	191	212	10	20	117.5	1
8	208	184	13	20	58.0	1
9	229	97	18	20	217.5	1
10	418	72	16	20	51.5	1
11	66	27	16	20	74.0	1
12	598	9	16	20	185.0	1
13	542	9	19	20	124.5	1
14	381	9	12	20	95.0	1

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	244	436	19	20	113.0	2
1	334	425	14	20	140.5	2
2	331	394	3	3	2.5	2
2	321	382	13	20	52.5	2
3	552	381	18	20	77.0	2
4	354	365	2	20	18.5	2
5	66	278	20	14	50.0	2
6	179	222	255	155	1219.5	2
6	156	220	13	20	42.5	2
7	192	212	10	20	117.5	2
8	209	186	13	20	56.0	2
9	229	97	18	20	217.5	2
10	419	72	16	20	51.5	2
11	66	29	16	20	81.5	2
12	599	11	16	20	185.0	2
13	542	10	19	20	124.5	2
14	381	10	12	20	95.0	2

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	246	437	19	20	113.0	3
1	334	426	14	20	140.5	3
2	321	384	13	20	52.0	3
3	554	381	18	20	77.0	3
4	355	365	2	20	18.5	3
5	67	279	20	14	51.0	3
6	179	222	255	155	1209.0	3
6	156	220	13	20	42.5	3
7	193	212	10	20	117.5	3
8	211	188	11	20	52.0	3
9	229	99	18	20	217.5	3
10	419	74	16	20	51.5	3
11	66	30	16	20	73.5	3
12	599	12	16	20	185.0	3
13	542	11	19	20	124.5	3
14	382	11	12	20	95.0	3

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	248	438	19	20	113.0	4
1	334	428	14	20	140.5	4
2	322	384	13	20	51.0	4
3	554	381	18	20	77.0	4
4	357	367	2	20	18.5	4
5	67	281	20	14	51.0	4
6	179	222	255	155	1214.5	4
6	156	220	13	20	42.5	4
7	195	213	10	20	117.5	4
8	213	203	8	6	8.0	4
8	213	189	10	11	35.5	4
9	229	100	18	20	217.5	4
10	421	76	16	20	51.5	4
11	67	30	16	20	73.5	4
12	599	14	16	20	185.0	4
