

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	41	433	14	20	127.0	0
1	249	415	14	20	135.0	0
2	592	395	20	18	188.5	0
3	571	375	16	20	118.0	0
4	30	287	14	20	90.5	0
5	309	231	12	20	90.0	0
6	250	220	18	20	78.0	0
7	276	154	12	20	81.5	0
8	133	138	12	20	76.0	0
9	187	106	12	22	64.0	0
10	223	101	12	20	64.5	0
11	310	49	17	20	156.5	0
12	199	46	20	20	292.5	0
13	118	37	13	20	75.5	0
14	283	20	8	20	40.5	0

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	42	434	14	20	127.0	1
1	251	415	14	20	135.0	1
2	593	395	20	18	188.5	1
3	571	375	16	20	118.0	1
4	32	289	14	20	89.0	1
5	309	232	12	20	90.0	1
6	252	220	18	20	95.0	1
7	276	156	12	20	81.5	1
8	133	139	12	20	76.0	1
9	188	109	12	20	61.0	1
10	223	101	14	20	67.5	1
11	310	49	17	20	157.5	1
12	199	46	20	20	292.5	1
13	119	37	13	20	75.5	1
14	284	20	8	20	40.5	1

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	44	436	14	20	127.0	2
1	251	415	14	20	135.0	2
2	593	397	20	18	188.5	2
3	573	375	16	20	116.0	2
4	33	290	14	20	90.0	2
5	310	232	12	20	90.0	2
6	253	220	18	20	95.0	2
7	278	158	12	20	81.5	2
8	133	140	12	20	75.0	2
9	190	111	12	20	60.5	2
10	227	101	12	20	64.5	2
11	310	49	17	20	157.5	2
12	199	48	20	20	291.5	2
13	121	37	13	20	75.5	2
14	285	21	8	20	40.5	2

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	46	436	14	20	127.0	3
1	252	417	14	20	132.0	3
2	594	399	20	18	188.5	3
3	574	377	16	20	116.5	3
4	34	291	14	20	90.0	3
5	310	233	12	20	90.0	3
6	254	222	18	20	95.0	3
7	278	160	12	20	81.5	3
8	134	140	12	20	75.0	3
9	190	111	12	20	60.5	3
10	227	101	12	20	64.5	3
11	201	50	20	20	295.5	3
12	310	49	17	20	157.5	3
13	123	37	13	20	75.5	3
14	285	21	8	20	40.5	3

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	46	436	14	20	127.0	4
1	252	418	14	20	132.0	4
2	594	399	20	18	188.5	4
3	576	378	16	20	116.5	4
4	35	292	14	20	90.0	4
5	311	235	12	20	90.0	4
6	252	223	21	20	81.5	4
7	278	162	12	20	81.5	4
8	135	140	12	20	75.0	4
9	190	111	12	20	60.5	4
10	228	101	12	20	64.5	4
11	203	50	20	20	291.5	4
12	310	49	17	20	157.5	4
13	123	38	13	20	75.5	4
14	285	22	8	20	40.5	4

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	46	436	14	20	127.0	5
1	254	418	14	20	132.0	5
2	594	399	20	18	188.5	5
3	576	378	16	20	116.5	5
4	36	293	14	20	90.0	5
5	313	236	12	20	89.0	5
6	255	223	18	20	78.0	5
7	278	162	12	20	81.5	5
8	135	140	12	20	75.0	5
9	190	113	12	20	60.5	5
10	228	102	12	20	64.5	5
11	203	52	20	20	292.5	5
12	310	50	17	20	157.5	5
13	123	38	13	20	75.5	5
14	285	22	8	20	40.5	5

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	46	437	14	20	127.0	6
1	255	418	14	20	132.0	6
2	594	399	20	18	188.5	6
3	576	378	16	20	116.5	6
4	36	294	14	20	90.0	6
5	315	236	12	20	89.0	6
6	257	225	18	20	95.0	6
7	279	162	12	20	81.5	6
8	135	141	12	20	75.0	6
9	190	115	12	20	60.5	6
10	228	103	12	20	64.5	6
11	203	53	20	20	292.5	6
12	311	50	18	20	161.0	6
13	125	38	13	20	75.5	6
14	286	22	8	20	40.5	6

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	46	437	14	20	127.0	7
1	257	418	14	20	132.0	7
2	596	399	20	18	188.5	7
3	578	380	16	20	115.5	7
4	36	294	14	20	90.0	7
5	316	237	12	20	89.0	7
6	257	227	18	20	95.0	7
7	279	162	12	20	81.5	7
8	135	141	12	20	75.0	7
9	191	115	12	20	59.5	7
10	228	104	12	20	64.5	7
11	204	55	20	20	292.5	7
12	313	51	17	20	156.5	7
13	126	39	13	20	75.5	7
14	286	24	8	20	40.5	7

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	47	437	14	20	127.0	8
1	258	419	14	20	135.0	8
2	596	399	20	18	188.5	8
3	578	381	16	20	114.5	8
4	38	296	14	20	91.5	8
5	316	238	12	20	90.0	8
6	258	227	18	20	95.0	8
7	279	164	12	20	81.5	8
8	135	141	12	20	75.0	8
9	191	115	12	20	59.5	8
10	229	105	12	20	64.5	8
11	204	55	20	20	292.5	8
12	313	51	17	20	156.5	8
13	126	39	13	20	75.5	8
14	287	25	8	20	40.5	8

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	47	437	14	20	127.0	9
1	258	419	14	20	135.0	9
2	596	401	20	18	188.5	9
3	580	383	16	20	113.0	9
4	38	298	14	20	91.5	9
5	316	239	12	20	91.0	9
6	258	228	18	20	95.0	9
7	281	164	12	20	81.5	9
8	135	143	12	20	75.0	9
9	191	116	12	20	59.5	9
10	229	105	12	20	64.5	9
11	204	55	20	20	292.5	9
12	314	53	17	20	156.5	9
13	126	41	13	20	75.5	9
14	287	25	8	20	40.5	9

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	47	439	14	20	127.0	10
1	258	419	14	20	135.0	10
2	596	402	20	18	188.5	10
3	581	384	16	20	107.5	10
4	38	299	14	20	91.5	10
5	317	241	12	20	89.0	10
6	258	228	18	20	95.0	10
7	281	164	12	20	81.5	10
8	137	145	12	20	75.0	10
9	193	118	12	20	59.5	10
10	229	106	12	20	64.5	10
11	200	55	24	20	297.5	10
12	314	53	17	20	156.5	10
13	126	43	13	20	75.5	10
14	287	25	8	20	40.5	10

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	47	439	14	20	127.0	11
1	258	421	14	20	131.0	11
2	596	404	20	18	189.5	11
3	582	384	16	20	109.5	11
4	38	299	14	20	91.5	11
5	317	241	12	20	89.0	11
6	258	230	18	20	95.0	11
7	283	165	12	20	81.5	11
8	138	145	12	20	75.0	11
9	193	118	12	20	59.5	11
10	231	106	12	20	64.5	11
11	205	55	20	20	291.5	11
12	314	53	17	20	156.5	11
13	126	45	13	20	75.5	11
14	289	26	8	20	40.5	11

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	47	439	14	20	126.0	12
1	259	421	14	20	131.0	12
2	598	404	20	18	188.5	12
3	583	384	16	20	113.5	12
4	38	299	14	20	91.5	12
5	317	242	12	20	89.0	12
6	258	232	18	20	78.0	12
7	284	165	12	20	81.5	12
8	138	145	12	20	75.0	12
9	195	120	12	20	64.0	12
10	231	106	12	20	75.5	12
11	207	55	20	20	292.5	12
12	315	53	17	20	157.5	12
13	127	45	13	20	75.5	12
14	289	26	8	20	41.5	12

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	48	439	14	20	126.0	13
1	261	421	14	20	131.0	13
2	599	406	20	18	188.5	13
3	585	384	16	20	113.0	13
4	38	301	14	20	91.5	13
5	260	233	18	20	78.0	13
6	286	165	12	20	81.5	13
7	135	147	17	20	77.5	13
8	196	121	12	20	64.0	13
9	233	106	12	20	66.0	13
10	207	57	20	20	292.5	13
11	315	53	17	20	157.5	13
12	129	46	13	20	75.5	13
13	290	27	8	20	41.5	13

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	48	441	14	20	126.0	14
1	263	423	14	20	131.0	14
2	599	407	20	18	188.5	14
3	586	385	16	20	110.0	14
4	40	301	14	20	91.5	14
5	260	234	18	20	78.0	14
6	287	166	12	20	81.5	14
7	141	147	12	20	76.0	14
8	198	121	12	20	63.5	14
9	233	107	12	20	66.0	14
10	209	58	20	20	292.5	14
11	317	53	17	20	157.5	14
12	129	46	13	20	75.5	14
13	291	28	8	20	41.5	14

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	48	441	14	20	126.0	15
1	264	423	14	20	131.0	15
2	600	407	20	18	194.0	15
3	588	387	16	15	105.5	15
4	42	301	14	20	91.5	15
5	260	234	18	20	78.0	15
6	287	166	12	20	81.5	15
7	141	147	12	20	76.0	15
8	198	123	12	20	63.5	15
9	235	109	12	20	66.0	15
10	210	60	20	20	292.5	15
11	318	53	17	20	157.5	15
12	129	48	13	20	75.5	15
13	291	28	8	20	41.5	15

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	49	442	14	20	127.0	16
1	266	424	14	20	131.0	16
2	601	408	20	18	188.5	16
3	588	387	16	20	107.5	16
4	42	301	14	20	91.5	16
5	260	234	18	20	78.0	16
6	287	166	12	20	81.5	16
7	142	147	12	20	76.0	16
8	198	123	12	20	63.5	16
9	235	110	12	20	66.0	16
10	210	61	20	20	292.5	16
11	318	53	17	20	157.5	16
12	130	49	13	20	75.5	16
13	291	28	8	20	41.5	16

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	50	442	14	20	127.0	17
1	266	424	14	20	131.0	17
2	602	408	20	18	188.5	17
3	590	387	16	16	107.5	17
4	42	303	14	20	91.5	17
5	261	227	19	28	86.5	17
6	288	168	12	20	81.5	17
7	144	149	12	20	76.0	17
8	198	124	12	20	63.5	17
9	237	110	12	20	66.0	17
10	210	61	20	20	292.5	17
11	318	55	17	20	157.5	17
12	130	49	13	20	75.5	17
13	292	28	8	20	41.5	17

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	52	444	14	20	127.0	18
1	268	424	14	20	131.0	18
2	603	409	20	18	188.5	18
3	590	389	16	15	105.5	18
4	44	303	14	20	91.5	18
5	263	235	18	20	95.0	18
6	288	168	12	20	95.5	18
7	145	149	12	20	76.0	18
8	8	146	16	20	157.5	18
9	200	125	12	20	65.0	18
10	237	111	12	20	66.0	18
11	212	61	20	20	292.5	18
12	319	55	17	20	157.5	18
13	130	50	13	20	75.5	18
14	292	28	8	20	41.5	18

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	54	444	14	20	127.0	19
1	270	425	14	20	131.0	19
2	605	409	20	18	188.5	19
3	590	391	16	20	107.5	19
4	44	303	14	20	91.5	19
5	263	236	18	20	95.0	19
6	290	170	12	20	81.5	19
7	146	149	12	20	76.0	19
8	8	146	16	20	157.5	19
9	201	125	12	20	64.0	19
10	239	113	12	20	66.0	19
11	213	63	20	20	292.5	19
12	319	55	17	22	162.5	19
13	131	52	13	20	75.5	19
14	292	30	8	20	41.5	19

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	54	444	14	20	127.0	20
1	270	426	14	20	131.0	20
2	606	411	20	18	188.5	20
3	592	391	16	20	110.0	20
4	45	303	14	20	91.5	20
5	264	238	18	20	95.0	20
6	292	171	12	20	81.5	20
7	146	149	12	20	76.0	20
8	10	146	16	20	157.5	20
9	201	125	12	20	64.0	20
10	239	113	12	20	66.0	20
11	213	64	20	20	292.5	20
12	320	55	17	20	157.5	20
13	131	54	13	20	75.5	20
14	292	32	8	20	41.5	20

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	56	444	14	20	127.0	21
1	271	426	14	20	131.0	21
2	606	413	20	18	188.5	21
3	592	391	16	20	114.0	21
4	47	304	14	20	91.5	21
5	266	239	18	20	95.0	21
6	294	172	12	20	81.5	21
7	146	149	12	20	76.0	21
8	11	146	16	20	157.5	21
9	202	126	12	20	64.0	21
10	241	113	12	20	66.0	21
11	213	65	20	20	292.5	21
12	131	56	13	20	75.5	21
13	320	55	17	20	157.5	21
14	294	33	8	20	41.5	21

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	56	444	14	20	127.0	22
1	273	428	14	20	131.0	22
2	607	413	20	18	188.5	22
3	592	393	16	20	114.5	22
4	49	305	14	20	91.5	22
5	266	240	18	20	95.0	22
6	294	169	14	24	85.0	22
7	146	149	12	20	76.0	22
8	12	148	16	20	157.5	22
9	203	126	14	20	69.5	22
